Date,AAPL,MSFT,XOM,BP
2015-01-02,24.261045455932617,39.93305206298828,58.423484802246094,20.229774475097656
2015-01-05,23.57758331298828,39.56583786010742,56.82490921020508,19.157785415649414
2015-01-06,23.579792022705078,38.98512268066406,56.52280044555664,19.014501571655273
2015-01-07,23.91043472290039,39.48043441772461,57.09555435180664,19.0622615814209
2015-01-08,24.829130172729492,40.641883850097656,58.045867919921875,19.492122650146484
2015-01-09,24.855764389038086,40.3002815246582,57.964046478271484,19.412519454956055
2015-01-12,24.24329376220703,39.79640579223633,56.85006332397461,19.131250381469727
2015-01-13,24.458547592163086,39.591461181640625,56.64238739013672,19.083492279052734
2015-01-14,24.365341186523438,39.249855041503906,56.47874450683594,18.929595947265625
2015-01-15,23.70406150817871,38.839942932128906,55.987850189208984,18.961437225341797
2015-01-16,23.51987075805664,39.48897171020508,57.34726333618164,20.091796875
2015-01-20,24.125675201416016,39.61708068847656,57.32839584350586,20.001583099365234
2015-01-21,24.30986976623535,39.215702056884766,57.819313049316406,20.60125160217285
2015-01-22,24.942304611206055,40.24903106689453,58.44865417480469,20.68616485595703
2015-01-23,25.071006774902344,40.29173278808594,57.202510833740234,20.643707275390625
2015-01-26,25.097639083862305,40.14656066894531,57.75007247924805,21.185007095336914
2015-01-27,24.218881607055664,36.431636810302734,57.24028015136719,21.338912963867188
2015-01-28,25.588048934936523,35.17628479003906,55.35219192504883,20.633094787597656
2015-01-29,26.384689331054688,35.87654495239258,55.11933898925781,20.56410789489746
2015-01-30,25.998577117919922,34.50162124633789,55.018638610839844,20.6065616607666
2015-02-02,26.324777603149414,35.25313186645508,56.3780517578125,21.153167724609375
2015-02-03,26.329219818115234,35.52641296386719,58.0584716796875,21.811222076416016
2015-02-04,26.531139373779297,35.731380462646484,57.561248779296875,21.466272354125977
2015-02-05,26.72052001953125,36.252315521240234,58.1276969909668,21.95981216430664
2015-02-06,26.49551010131836,36.21815490722656,58.0198974609375,21.848365783691406
2015-02-09,26.671506881713867,36.17546844482422,58.05791091918945,22.08187484741211
2015-02-10,27.183910369873047,36.38042068481445,57.70917892456055,21.890825271606445
2015-02-11,27.821060180664062,36.19254684448242,57.44920349121094,21.729267120361328
2015-02-12,28.17305564880371,36.79887771606445,58.571556091308594,22.262399673461914
2015-02-13,28.311182022094727,37.46500015258789,59.20565414428711,22.58013153076172
2015-02-17,28.478273391723633,37.48219680786133,59.00273513793945,22.49934959411621
2015-02-18,28.676542282104492,37.43919372558594,57.70917892456055,22.483198165893555
2015-02-19,28.61639404296875,37.41339111328125,56.713626861572266,22.181631088256836
2015-02-20,28.85032081604004,37.72300720214844,57.01800537109375,22.230093002319336
2015-02-23,29.63005256652832,37.972434997558594,56.44099807739258,22.197778701782227
2015-02-24,29.44514274597168,37.92084503173828,56.700958251953125,22.39702796936035
2015-02-25,28.69214630126953,37.834835052490234,56.81510925292969,22.56936264038086
2015-02-26,29.055280685424805,37.89502716064453,56.21269989013672,22.273170471191406
2015-02-27,28.618627548217773,37.714412689208984,56.1429557800293,22.31625747680664
2015-03-02,28.75897216796875,37.74021911621094,55.825923919677734,22.24085807800293
2015-03-03,28.819129943847656,37.22417449951172,55.5595817565918,22.477813720703125
2015-03-04,28.636444091796875,37.03495407104492,55.28057861328125,22.364717483520508
2015-03-05,28.161914825439453,37.07795715332031,55.00157928466797,22.17623519897461
2015-03-06,28.20424461364746,36.432899475097656,54.297733306884766,21.729267120361328
2015-03-09,28.324546813964844,36.854331970214844,53.99970626831055,21.691570281982422
2015-03-10,27.738637924194336,36.149070739746094,53.42903518676758,21.023799896240234
2015-03-11,27.2329158782959,36.106082916259766,53.2768440246582,20.58760643005371
2015-03-12,27.72526741027832,35.28040313720703,53.40364074707031,20.549911499023438
2015-03-13,27.533668518066406,35.59003829956055,53.18172836303711,20.24833869934082
2015-03-16,27.836654663085938,35.744850158691406,53.7460823059082,20.221410751342773
2015-03-17,28.30227279663086,35.86524963378906,53.31490707397461,20.36681365966797
2015-03-18,28.6208438873291,36.553314208984375,54.576759338378906,21.190746307373047
2015-03-19,28.40475082397461,36.37268829345703,53.52415084838867,20.98611068725586
2015-03-20,28.048295974731445,36.8801383972168,53.6065788269043,21.59463882446289
2015-03-23,28.34014320373535,36.86294937133789,54.170921325683594,21.61617660522461
2015-03-24,28.224300384521484,36.89735412597656,53.59388732910156,21.27691650390625
2015-03-25,27.486894607543945,35.6588249206543,53.80949020385742,21.546167373657227
2015-03-26,27.678482055664062,35.443817138671875,53.46709060668945,21.438467025756836
2015-03-27,27.457921981811523,35.237388610839844,52.997840881347656,21.330766677856445
2015-03-30,28.15300178527832,35.228782653808594,54.297733306884766,21.454622268676758
2015-03-31,27.720809936523438,34.97077560424805,53.89826202392578,21.061500549316406
2015-04-01,27.68071174621582,35.022377014160156,53.55583953857422,21.271528244018555
2015-04-02,27.919086456298828,34.65253829956055,53.45439529418945,21.35230255126953
2015-04-06,28.371335983276367,35.736236572265625,53.980690002441406,21.610790252685547
2015-04-07,28.07280731201172,35.719032287597656,54.37383270263672,21.6754093170166
2015-04-08,27.98146629333496,35.62441635131836,53.30219650268555,21.95545196533203
2015-04-09,28.19533348083496,35.67603302001953,53.676326751708984,22.267786026000977
2015-04-10,28.315637588500977,35.88245391845703,54.25334167480469,22.37010383605957
2015-04-13,28.25994110107422,35.916847229003906,54.11384201049805,22.203166961669922
2015-04-14,28.137414932250977,35.822242736816406,54.931827545166016,22.510116577148438
2015-04-15,28.244340896606445,36.34688949584961,55.85127258300781,22.844009399414062
2015-04-16,28.10845375061035,36.26087951660156,55.62933349609375,22.914011001586914
2015-04-17,27.792098999023438,35.79643249511719,55.122039794921875,23.09710693359375
2015-04-20,28.427024841308594,36.905948638916016,55.318641662597656,23.059412002563477
2015-04-21,28.2733097076416,36.67372131347656,55.090354919433594,23.037878036499023
2015-04-22,28.654264450073242,36.9747428894043,55.458133697509766,23.28558921813965
2015-04-23,28.88819122314453,37.27577590942383,55.50886535644531,23.479461669921875
2015-04-24,29.02408790588379,41.171939849853516,55.14744567871094,23.404067993164062
2015-04-27,29.55207633972168,41.30954360961914,55.17279815673828,23.177885055541992
2015-04-28,29.08646583557129,42.28141784667969,55.67374038696289,23.41482925415039
2015-04-29,28.65872573852539,42.1954231262207,55.71812057495117,23.474075317382812
2015-04-30,27.881206512451172,41.834190368652344,55.40106201171875,23.242502212524414
2015-05-01,28.7277889251709,41.85139083862305,56.339534759521484,23.28020477294922
2015-05-04,28.67209243774414,41.49016189575195,56.50440979003906,23.37713050842285
2015-05-05,28.026023864746094,40.939701080322266,56.187347412109375,23.210195541381836
2015-05-06,27.85002326965332,39.804420471191406,55.92104721069336,23.21019744873047
2015-05-07,28.02228355407715,40.1656379699707,55.546913146972656,22.844295501708984
2015-05-08,28.550251007080078,41.0687141418457,56.428306579589844,23.32488441467285
2015-05-11,28.25942039489746,40.74188232421875,55.48207473754883,23.25388526916504
2015-05-12,28.158748626708984,40.72469711303711,55.63554000854492,23.313961029052734
2015-05-13,28.190067291259766,40.96550369262695,55.34139633178711,23.357648849487305
2015-05-14,28.847780227661133,41.90299987792969,55.603572845458984,23.461416244506836
2015-05-15,28.807518005371094,41.5417594909668,55.846492767333984,23.379499435424805
2015-05-18,29.125194549560547,41.29233932495117,55.5268440246582,23.150123596191406
2015-05-19,29.09834861755371,41.1884651184082,55.616355895996094,22.844295501708984
